clade_name	NCBI_tax_id	X2442854_Visit_8	X2442841_Visit_12	X2442640_Visit_10	X2443084_Visit_7	X2442981_Visit_6	X2442842_Visit_10	X2442827_Visit_8	X2443013_Visit_6	X2442653_Visit_8	X2442841_Visit_11	X2442829_Visit_8	X2442593_Visit_5	X2443075_Visit_8	X2442777_Visit_10	X2443099_Visit_8	X2442741_Visit_12	X2442903_Visit_7	X2442981_Visit_9	X2443104_Visit_6	X2442914_Visit_10	X2443107_Visit_7	X2442828_Visit_9	X2442932_Visit_6	X2443000_Visit_10	X2442844_Visit_9	X2442838_Visit_6	X2442916_Visit_10	X2443075_Visit_9	X2442622_Visit_10	X2442937_Visit_9	X2442696_Visit_8	X2442706_Visit_13	X2442707_Visit_14	X2443022_Visit_7	X2442797_Visit_9	X2443035_Visit_5	X2442637_Visit_8	X2443054_Visit_9	X2442828_Visit_7	X2442866_Visit_8	X2442994_Visit_5	X2442741_Visit_9	X2442706_Visit_8	X2443054_Visit_8	X2442874_Visit_8	X2443059_Visit_8	X2443081_Visit_10	X2442831_Visit_6	X2443013_Visit_5	X2443012_Visit_8	X2443017_Visit_6	X2442934_Visit_6	X2442981_Visit_12	X2442842_Visit_7	X2442827_Visit_13	X2442916_Visit_6	X2442977_Visit_6	X2442632_Visit_5	X2442754_Visit_10	X2443035_Visit_7	X2443050_Visit_11	X2442898_Visit_5	X2442641_Visit_5	X2442736_Visit_7	X2442649_Visit_10	X2442885_Visit_10	X2443106_Visit_6	X2442919_Visit_9	X2443049_Visit_7	X2442804_Visit_10	X2442729_Visit_6	X2442844_Visit_7	X2443079_Visit_11	X2443040_Visit_9	X2443107_Visit_5	X2442754_Visit_5	X2443067_Visit_12	X2443012_Visit_6	X2442849_Visit_8	X2442658_Visit_7	X2443106_Visit_7	X2442726_Visit_10	X2442596_Visit_8	X2443124_Visit_12	X2443049_Visit_6	X2442903_Visit_10	X2442739_Visit_9	X2442804_Visit_9	X2442916_Visit_5	X2442709_Visit_9	X2442640_Visit_7	X2443022_Visit_6	X2442978_Visit_8	X2442812_Visit_8	X2442885_Visit_7	X2442593_Visit_7	X2442932_Visit_8	X2442726_Visit_7	X2442793_Visit_9	X2442797_Visit_5	X2442709_Visit_10	X2442753_Visit_6	X2442849_Visit_9	X2442870_Visit_6	X2442729_Visit_8	X2442783_Visit_11	X2443124_Visit_9	X2442831_Visit_5	X2442641_Visit_8	X2442637_Visit_6	X2442947_Visit_7	X2442658_Visit_10	X2443023_Visit_7	X2442707_Visit_8	X2442605_Visit_7	X2442978_Visit_9	X2442596_Visit_10	X2442739_Visit_7	X2443084_Visit_5	X2443076_Visit_6	X2442831_Visit_9	X2442793_Visit_6	X2442968_Visit_9	X2442829_Visit_6	X2442898_Visit_10	X2443023_Visit_6	X2443067_Visit_8	X2443050_Visit_7	X2442899_Visit_7	X2442827_Visit_11	X2442934_Visit_7	X2443087_Visit_8	X2442827_Visit_16	X2443104_Visit_4	X2442914_Visit_7	X2442899_Visit_5	X2442773_Visit_6	X2443087_Visit_11	X2443081_Visit_7	X2443040_Visit_7	X2442632_Visit_6	X2442919_Visit_8	X2442874_Visit_10	X2442777_Visit_5	X2442947_Visit_9	X2443079_Visit_10	X2442854_Visit_5
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.11019	0	0.08409	0	0	0.69831	0	6.04677	1.55177	0	0	0	0	0	0	0	0	0	3.64322	0	0	0	0.94929	0	0	0	0.00974	0	0	0	0	0	0	0	8.03158	0	12.88841	0	0	0.01116	0	5.07988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19354	10.73016	0	0	0	40.957	0	0.02752	0	0	0	0	0	1.43919	0	0	0	0	0	0	37.64941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95952	0	7.78119	1.71779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.3553	0	16.34889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	0	0	0	0	0	0.69831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94929	0	0	0	0.00974	0	0	0	0	0	0	0	8.03158	0	0	0	0	0.01116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95952	0	7.78119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	2|201174|1760|85004|31953|1678|1681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	2|201174|1760|85004|31953|1678|1685	0	0	0	0	0	0.69831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.78119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	2|201174|1760|85004|31953|1678|216816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94929	0	0	0	0.00974	0	0	0	0	0	0	0	0.7622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	2|201174|1760|85004|31953|1678|28026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.53788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	2|201174|1760|85004|31953|2701	0.11019	0	0.08409	0	0	0	0	6.04677	1.55177	0	0	0	0	0	0	0	0	0	3.64322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.88841	0	0	0	0	5.07988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19354	10.73016	0	0	0	40.957	0	0.02752	0	0	0	0	0	0	0	0	0	0	0	0	37.64941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.3553	0	16.14876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	2|201174|1760|85004|31953|2701|2702	0.11019	0	0.08409	0	0	0	0	6.04677	1.55177	0	0	0	0	0	0	0	0	0	3.64322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.88841	0	0	0	0	5.07988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19354	10.73016	0	0	0	40.957	0	0.02752	0	0	0	0	0	0	0	0	0	0	0	0	37.64941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.3553	0	16.14876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05643	0	0	0	0	0	0	1.63811	0	0	0	0	0	7.53323	0	0	0	0.83117	0	0	0	0.64394	0	0	2.59339	0	0	0	0	18.77034	2.85702	0.16806	0	0	0	0	0	0	0	0	0	0	0	43.28566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.78737	0	0	0.2965	0	0	0	0	0	0	0	0	0	0	3.34643	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	2|201174|1760|85007|1653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02558	0	0	0	0	0	0	0.16806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34643	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	2|201174|1760|85007|1653|1716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02558	0	0	0	0	0	0	0.16806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34643	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum	2|201174|1760|85007|1653|1716|43765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95119	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_aurimucosum	2|201174|1760|85007|1653|1716|169292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2153	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_coyleae	2|201174|1760|85007|1653|1716|53374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16471	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kroppenstedtii	2|201174|1760|85007|1653|1716|161879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
